run_id,arm,seed,step,incumbent_score,best_score,baseline_score
mlrc_greedy_s0_20260622T062831Z,greedy,0,0,0.0545048128832924,0.08663988575876516,0.0545048128832924
mlrc_greedy_s0_20260622T062831Z,greedy,0,1,0.0545048128832924,0.08663988575876516,0.0545048128832924
mlrc_greedy_s0_20260622T062831Z,greedy,0,2,0.0545048128832924,0.08663988575876516,0.0545048128832924
mlrc_greedy_s0_20260622T062831Z,greedy,0,3,0.0545048128832924,0.08663988575876516,0.0545048128832924
mlrc_greedy_s0_20260622T062831Z,greedy,0,4,0.0545048128832924,0.08663988575876516,0.0545048128832924
mlrc_greedy_s0_20260622T062831Z,greedy,0,5,0.0545048128832924,0.08663988575876516,0.0545048128832924
mlrc_greedy_s0_20260622T062831Z,greedy,0,6,0.0545048128832924,0.08663988575876516,0.0545048128832924
mlrc_greedy_s0_20260622T062831Z,greedy,0,7,0.08663988575876516,0.08663988575876516,0.0545048128832924
mlrc_greedy_s0_20260622T062831Z,greedy,0,8,0.08663988575876516,0.08663988575876516,0.0545048128832924
mlrc_greedy_s0_20260622T080539Z,greedy,0,0,0.0545048128832924,0.1539159574797401,0.0545048128832924
mlrc_greedy_s0_20260622T080539Z,greedy,0,1,0.05759925948593007,0.1539159574797401,0.0545048128832924
mlrc_greedy_s0_20260622T080539Z,greedy,0,2,0.05759925948593007,0.1539159574797401,0.0545048128832924
mlrc_greedy_s0_20260622T080539Z,greedy,0,3,0.05759925948593007,0.1539159574797401,0.0545048128832924
mlrc_greedy_s0_20260622T080539Z,greedy,0,4,0.05759925948593007,0.1539159574797401,0.0545048128832924
mlrc_greedy_s0_20260622T080539Z,greedy,0,5,0.05759925948593007,0.1539159574797401,0.0545048128832924
mlrc_greedy_s0_20260622T080539Z,greedy,0,6,0.05759925948593007,0.1539159574797401,0.0545048128832924
mlrc_greedy_s0_20260622T080539Z,greedy,0,7,0.05759925948593007,0.1539159574797401,0.0545048128832924
mlrc_greedy_s0_20260622T080539Z,greedy,0,8,0.1539159574797401,0.1539159574797401,0.0545048128832924
mlrc_greedy_s1_20260622T081217Z,greedy,1,0,0.0545048128832924,0.058869140133546,0.0545048128832924
mlrc_greedy_s1_20260622T081217Z,greedy,1,1,0.0545048128832924,0.058869140133546,0.0545048128832924
mlrc_greedy_s1_20260622T081217Z,greedy,1,2,0.0545048128832924,0.058869140133546,0.0545048128832924
mlrc_greedy_s1_20260622T081217Z,greedy,1,3,0.0545048128832924,0.058869140133546,0.0545048128832924
mlrc_greedy_s1_20260622T081217Z,greedy,1,4,0.0545048128832924,0.058869140133546,0.0545048128832924
mlrc_greedy_s1_20260622T081217Z,greedy,1,5,0.058869140133546,0.058869140133546,0.0545048128832924
mlrc_greedy_s1_20260622T081217Z,greedy,1,6,0.058869140133546,0.058869140133546,0.0545048128832924
mlrc_greedy_s1_20260622T081217Z,greedy,1,7,0.058869140133546,0.058869140133546,0.0545048128832924
mlrc_greedy_s1_20260622T081217Z,greedy,1,8,0.058869140133546,0.058869140133546,0.0545048128832924
mlrc_greedy_s2_20260623T164710Z,greedy,2,0,0.0545048128832924,0.06850540571402064,0.0545048128832924
mlrc_greedy_s2_20260623T164710Z,greedy,2,1,0.0545048128832924,0.06850540571402064,0.0545048128832924
mlrc_greedy_s2_20260623T164710Z,greedy,2,2,0.0545048128832924,0.06850540571402064,0.0545048128832924
mlrc_greedy_s2_20260623T164710Z,greedy,2,3,0.0545048128832924,0.06850540571402064,0.0545048128832924
mlrc_greedy_s2_20260623T164710Z,greedy,2,4,0.06681468702986534,0.06850540571402064,0.0545048128832924
mlrc_greedy_s2_20260623T164710Z,greedy,2,5,0.06681468702986534,0.06850540571402064,0.0545048128832924
mlrc_greedy_s2_20260623T164710Z,greedy,2,6,0.06681468702986534,0.06850540571402064,0.0545048128832924
mlrc_greedy_s2_20260623T164710Z,greedy,2,7,0.06850540571402064,0.06850540571402064,0.0545048128832924
mlrc_greedy_s2_20260623T164710Z,greedy,2,8,0.06850540571402064,0.06850540571402064,0.0545048128832924
mlrc_causal_s0_20260622T133732Z,causal,0,0,0.0545048128832924,0.1738732470456443,0.0545048128832924
mlrc_causal_s0_20260622T133732Z,causal,0,1,0.058413778002269746,0.1738732470456443,0.0545048128832924
mlrc_causal_s0_20260622T133732Z,causal,0,2,0.06884860860192078,0.1738732470456443,0.0545048128832924
mlrc_causal_s0_20260622T133732Z,causal,0,3,0.1738732470456443,0.1738732470456443,0.0545048128832924
mlrc_causal_s0_20260622T133732Z,causal,0,4,0.1738732470456443,0.1738732470456443,0.0545048128832924
mlrc_causal_s2_20260622T144052Z,causal,2,0,0.0545048128832924,0.111249837580137,0.0545048128832924
mlrc_causal_s2_20260622T144052Z,causal,2,1,0.0545048128832924,0.111249837580137,0.0545048128832924
mlrc_causal_s2_20260622T144052Z,causal,2,2,0.111249837580137,0.111249837580137,0.0545048128832924
mlrc_causal_s2_20260622T144052Z,causal,2,3,0.111249837580137,0.111249837580137,0.0545048128832924
mlrc_causal_s3_20260622T174319Z,causal,3,0,0.0545048128832924,0.06312688743410826,0.0545048128832924
mlrc_causal_s3_20260622T174319Z,causal,3,1,0.0545048128832924,0.06312688743410826,0.0545048128832924
mlrc_causal_s3_20260622T174319Z,causal,3,2,0.06312688743410826,0.06312688743410826,0.0545048128832924
mlrc_causal_s3_20260622T174319Z,causal,3,3,0.06312688743410826,0.06312688743410826,0.0545048128832924
mlrc_causal_s3_20260622T174319Z,causal,3,4,0.06312688743410826,0.06312688743410826,0.0545048128832924
mlrc_causal_s4_20260622T174424Z,causal,4,0,0.0545048128832924,0.06591247134856719,0.0545048128832924
mlrc_causal_s4_20260622T174424Z,causal,4,1,0.0545048128832924,0.06591247134856719,0.0545048128832924
mlrc_causal_s4_20260622T174424Z,causal,4,2,0.0545048128832924,0.06591247134856719,0.0545048128832924
mlrc_causal_s4_20260622T174424Z,causal,4,3,0.06591247134856719,0.06591247134856719,0.0545048128832924
mlrc_causal_s4_20260622T174424Z,causal,4,4,0.06591247134856719,0.06591247134856719,0.0545048128832924
mlrc_causal_s5_20260622T200351Z,causal,5,0,0.0545048128832924,0.10786222644274876,0.0545048128832924
mlrc_causal_s5_20260622T200351Z,causal,5,1,0.07875627045234221,0.10786222644274876,0.0545048128832924
mlrc_causal_s5_20260622T200351Z,causal,5,2,0.10786222644274876,0.10786222644274876,0.0545048128832924
mlrc_causal_s5_20260622T200351Z,causal,5,3,0.10786222644274876,0.10786222644274876,0.0545048128832924
